default,Identifier,Remarks,hu,it,es esm
Classic ZDoom menu scaling,"MISCMNU_CLEANMENU
",,Fattore di scala ZDoom classico per i menu,Fattore di scala ZDoom classico per i menu,Escalado clásico de ZDoom en menús
Use percents on summary screen,MISCMNU_WIPERCENT,,Usa percentuali per le schermate di riepilogo,Usa percentuali per le schermate di riepilogo,Usar porcentajes en pantalla de sumario
Classic ZDoom scaling on summary screen,MISCMNU_CLEANSTAT,,Fattore di scala ZDoom classico per le schermate di riepilogo,Fattore di scala ZDoom classico per le schermate di riepilogo,Escalado clásico de ZDoom en pantalla de sumario
Citizen,TAG_STRIFEZOMBIE,,Cittadino,Cittadino,Ciudadano
Ceiling Turret,TAG_CEILINGTURRET,,Torretta da soffitto,Torretta da soffitto,Torreta de techo
Crusader,TAG_CRUSADER,,Crociato,Crociato,Cruzado
Inquisitor,TAG_INQUISITOR,,Inquisitore,Inquisitore,Inquisidor
Peasant,TAG_PEASANT,,Civile,Civile,Campesino
Reaver,TAG_REAVER,,Saccheggiatore,Saccheggiatore,Saqueador
Sentinel,TAG_SENTINEL,,Sentinella,Sentinella,Centinela
Stalker,TAG_STALKER,,Cacciatore,Cacciatore,Acechador
The Bishop,TAG_BISHOP,,Vescovo,Vescovo,El Obispo
The One God,TAG_ENTITY,,Unico Dio,Unico Dio,El Dios Único
The Programmer,TAG_PROGRAMMER,,Programmatore,Programmatore,El Programador
The Spectre,TAG_ALIENSPECTRE,,Spettro,Spettro,El Espectro
Kneeling Guy,TAG_KNEELINGGUY,,Uomo inchinato,Uomo inchinato,Tipo arrodillado
Spawn multiplayer things in coop,GMPLYMNU_MULTIPLAYERTHINGS,,Fai apparire gli oggetti di multigiocatore in cooperativa,Fai apparire gli oggetti di multigiocatore in cooperativa,Hacer aparecer cosas del multijugador en cooperativo
,,,,,
Monsters and players,OPTVAL_SPRSHADALWAYS,,Mostri e giocatori,Mostri e giocatori,Monstruos y jugadores
,,,,,
Disable MBF21 features,CMPTMNU_NOMBF21,,Disabilita le funzioni MBF21,Disabilita le funzioni MBF21,Deshabilitar las funciones de MBF21
Show time widget,ALTHUDMNU_SHOWTIMESTAT,,Mostra orario,Mostra orario,Mostrar widget de tiempo
MBF21,OPTVAL_MBF21,,,,
Crushed monsters get resurrected as ghosts,CMPTMNU_VILEGHOSTS,,Mostri schiacciati vengono resuscitati come fantasmi,Mostri schiacciati vengono resuscitati come fantasmi,Los monstruos aplastados son resucitados como fantasmas
View bobbing while flying,MISCMNU_FVIEWBOB,,,,La vista tambalea al volar
%o was maimed by a Serpent.,OB_DEMON1HIT,,%o è stato mutilato da un serpente.,%o è stato mutilato da un serpente.,
Antialias Lines,AUTOMAPMNU_LINEANTIALIASING,,,,
Move and shoot through other players,GMPLYMNU_NOPLAYERCLIP,,Muoversi e sparare attraverso gli altri giocatori,Muoversi e sparare attraverso gli altri giocatori,
Share keys with all players,GMPLYMNU_SHAREKEYS,,Condividere i tasti con tutti i giocatori,Condividere i tasti con tutti i giocatori,
Disallow override of camera facing mode,GLPREFMNU_SPRBILLFACECAMERAFORCE,,Disconoscimento della modalità telecamera,Disconoscimento della modalità telecamera,
Swap health and armor,ALTHUDMNU_SWAPHEALTHARMOR,,Scambio di salute e armatura,Scambio di salute e armatura,
Use classic HUD scaling,SCALEMNU_HUD_OLDSCALE,,Utilizzare la scalatura classica dell'HUD,Utilizzare la scalatura classica dell'HUD,
HUD scale factor,SCALEMNU_HUD_SCALEFACTOR,,Fattore di scala dell'HUD,Fattore di scala dell'HUD,
Spawn co-op only things in multiplayer,GMPLYMNU_COOPTHINGS,,Creare oggetti solo per la cooperativa in multigiocatore,Creare oggetti solo per la cooperativa in multigiocatore,
Spawn co-op only pickup items in multiplayer,GMPLYMNU_COOPITEMS,,Creare pickup solo per la cooperativa in multigiocatore,Creare pickup solo per la cooperativa in multigiocatore,
Players pick up their own copy of items in multiplayer,GMPLYMNU_LOCALITEMS,,I giocatori raccolgono la propria copia di oggetti in multigiocatore,I giocatori raccolgono la propria copia di oggetti in multigiocatore,
Disable client-side pick ups on dropped items,GMPLYMNU_NOLOCALDROP,,Disabilita il ritiro degli oggetti caduti dal lato client,Disabilita il ritiro degli oggetti caduti dal lato client,
Restart level on Death,MISCMNU_RESTARTONDEATH,,Riavvio del livello in caso di morte,Riavvio del livello in caso di morte,
Pistol Start,GMPLYMNU_PISTOLSTART,,Avvio pistola,Avvio pistola,
Allow creation of zombie players,CMPTMNU_VOODOOZOMBIES,,,,
ignore floor z when teleporting,CMPTMNU_FDTELEPORT,,,,
,,,,,
Press Y or N.,PRESSYN,,PIGIA Y O N,Premi Y oppure N.,Presiona Y o N.
Yes,TXT_YES,,Si,Si,Sí
No,TXT_NO,,,,
"You can't save if you aren't playing!

Press a key.",SAVEDEAD,,"NN POI SALVA' SE NON STAI A GIOCA', TURSOLO!

Premi un tasto.","Non puoi salvare se non stai giocando!

Premi un tasto.","¡No puedes guardar si no estás jugando!

Presiona una tecla."
Do you really want to do this?,SAFEMESSAGE,,Sei sicuro di volerlo fare?,Sei sicuro di volerlo fare?,¿Realmente quieres hacer eso?
Not set,NOTSET,,Non assegnato,Non assegnato,No asignado
"Quicksave over your game named

'%s'?

Press Y or N.",QSPROMPT,,"Voi sovrascrive l salvataggio

'%s'?

Pigia Y o N.","Sovrascrivere il salvataggio

'%s'?

Premi Y oppure N.","¿Deseas guardar sobre tu partida llamada

'%s'?

Presiona Y o N."
"Do you want to quickload the game named

'%s'?

Press Y or N.",QLPROMPT,,"Voi cariche' la partita

'%s'?

Pigia Y o N.","Vuoi fare un quickload della partita

'%s'?

Premi Y oppure N.","¿Deseas cargar la partida llamada

'%s'?

Presiona Y o N."
%s cheats,TXT_X_CHEATS,,%s imbroglia,%s imbroglia,%s hace trampas
Messages: OFF,MSGOFF,,Messaggi DISATTIVETI,Messaggi DISATTIVATI,Mensajes DESACTIVADOS
Messages: ON,MSGON,,Messaggi ATTIVETI,Messaggi ATTIVATI,Mensajes ACTIVADOS
Say:,TXT_SAY,,Di' qualcosa:,Parla:,
Press any key or click anywhere in the window to quit.,TXT_QUITENDOOM,,Premi un qualunque tasto o fai un click ovunque nella finestra per uscire.,Premi un qualunque tasto o fai un click ovunque nella finestra per uscire.,Presiona una tecla o haz clic en cualquier lugar de la ventana para salir.
,,,,,
<New Save Game>,NEWSAVE,,<Nuovo Salvataggio>,<Nuovo Salvataggio>,<Nueva partida guardada>
Game saved.,GGSAVED,,Gioco salveto!,Partita salvata.,Partida guardada.
Time,SAVECOMMENT_TIME,,Tempo,Tempo,Tiempo
Load Game,MNU_LOADGAME,,Carica partita,Carica partita,Cargar partida
Save Game,MNU_SAVEGAME,,Salva partita,Salva partita,Guardar partida
No Picture,MNU_NOPICTURE,,Nessuna immagine,Nessuna immagine,Sin imagen
Different Version,MNU_DIFFVERSION,,Versione differente,Versione differente,Versión diferente
No files,MNU_NOFILES,,Nessun file,Nessun file,Sin archivos
"Do you really want to delete the savegame?
",MNU_DELETESG,,Se' sicuro che voi butta' via sto salvataggio?,Vuoi veramente cancellare il salvataggio?,"¿Realmente deseas borrar la partida?
"
,,,,,
Off,OPTVAL_OFF,,Spinto,Disattivo,Desactivado
On,OPTVAL_ON,,Aceso,Attivo,Activado
Auto,OPTVAL_AUTO,,Automatico,Automatico,Automático
Options,OPTMNU_TITLE,,Opzioni,Opzioni,Opciones
Customize Controls,OPTMNU_CONTROLS,,Impostazioni dei botoni,Personalizza i controlli,Personalizar controles
Mouse Options,OPTMNU_MOUSE,,Opzioni del Maus,Opzioni Mouse,Opciones de ratón
Controller Options,OPTMNU_JOYSTICK,,Opzioni del Giostic,Opzioni Joystick,Opciones de mando
Player Setup,OPTMNU_PLAYER,,Settaggio giocatore,Settaggio giocatore,Configuración del jugador
Gameplay Options,OPTMNU_GAMEPLAY,,Opzioni Gameplay,Opzioni Gameplay,Opciones de jugabilidad
Automap Options,OPTMNU_AUTOMAP,,Opzioni Automappa,Opzioni Automappa,Opciones del automapa
HUD Options,OPTMNU_HUD,,Opzioni HUD,Opzioni HUD,Opciones del HUD
Miscellaneous Options,OPTMNU_MISCELLANEOUS,,Opzioni Miste,Opzioni Miste,Opciones misceláneas
,,,,,
Display Options,OPTMNU_DISPLAY,,Opzioni Display,Opzioni Display,Opciones de visualización
Set video mode,OPTMNU_VIDEO,,Settaggio modalità video,Settaggio modalità video,Modos de vídeo
Reset to defaults,OPTMNU_DEFAULTS,,Reimposta ai valori di default,Reimposta ai valori di default,Valores por defecto
Reset to last saved,OPTMNU_RESETTOSAVED,,Reimposta ai valori salvati l'ultima volta,Reimposta ai valori salvati l'ultima volta,Últimos valores guardados
Save current settings,OPTMNU_WRITEINI,,Salva le impostazioni correnti,Salva le impostazioni correnti,Guardar los ajustes de ahora
Go to console,OPTMNU_CONSOLE,,Vai alla console,Vai alla console,Ir a la consola
Network Options,OPTMNU_NETWORK,,Opzioni Network,Opzioni Network,Opciones de red
Reverb environment editor,OPTMNU_REVERB,,Editor ambiente reverb,Editor ambiente reverb,Editor de amb. de reverberación
,,,,,
"ENTER to change, BACKSPACE to clear",CNTRLMNU_SWITCHTEXT1,,"INVIO per modifica0, BACKSPACE per scancella'","INVIO per modificare, BACKSPACE per ripulire","ENTER para cambiar, RETROCESO para borrar"
"Press new key for control, ESC to cancel",CNTRLMNU_SWITCHTEXT2,,"Premi un nuovo tasto per il controllo, ESC per cancellare","Premi un nuovo tasto per il controllo, ESC per cancellare","Presiona una tecla para el control, ESC para cancelar"
Controls,CNTRLMNU_CONTROLS,,Botoni,Controlli,Controles
Fire,CNTRLMNU_ATTACK,,Fuoco,Fuoco,Fuego
Secondary Fire,CNTRLMNU_ALTATTACK,,Fuoco secondario,Fuoco secondario,Fuego secundario
Weapon Reload,CNTRLMNU_RELOAD,,Ricarica dell'arma,Ricarica dell'arma,Recargar arma
Use / Open,CNTRLMNU_USE,,Usa/Apri,Usa/Apri,Usar/Abrir
,,,,,
,,,,,
,,,,,
,,,,,
Turn left,CNTRLMNU_TURNLEFT,,"Gira a sinistra
","Gira a sinistra
",Girar a la izquierda
Turn right,CNTRLMNU_TURNRIGHT,,Gira a destra,Gira a destra,Girar a la derecha
Quick Turn,CNTRLMNU_TURN180,,Rotazione rapida,Rotazione rapida,Giro rápido
Jump,CNTRLMNU_JUMP,,Salto,Salto,Saltar
Crouch,CNTRLMNU_CROUCH,,Abbassarsi,Abbassarsi,Agacharse
Crouch Toggle,CNTRLMNU_TOGGLECROUCH,,Attivare/disattivare abbassamento,Attivare/disattivare abbassamento,Alternar agachado
Mouse look,CNTRLMNU_MOUSELOOK,,Modalità vista col mouse,Modalità vista col mouse,Vista con ratón
Look up,CNTRLMNU_LOOKUP,,Guarda sopra,Guarda sopra,Mirar arriba
Look down,CNTRLMNU_LOOKDOWN,,Guarda sotto,Guarda sotto,Mirar abajo
Center view,CNTRLMNU_CENTERVIEW,,Sguardo centrato,Sguardo centrato,Centrar vista
,,,,,
,,,,,
Strafe,CNTRLMNU_STRAFE,,Spostamento laterale,Spostamento laterale,Desplazamiento
Show Scoreboard,CNTRLMNU_SCOREBOARD,,Mostra la tabella punteggio,Mostra la tabella punteggio,Mostrar marcador
,,,,,
Customize Action Controls,CNTRLMNU_ACTION_TITLE,,Personalizza i controlli di azione,Personalizza i controlli di azione,Cambiar controles de acción
Chat,CNTRLMNU_CHAT,,,,
Multiplayer,MNU_MULTIPLAYER,,Multigiocatore,Multigiocatore,Multijugador
Say,CNTRLMNU_SAY,,Parla,Parla,Hablar
Customize Chat Controls,CNTRLMNU_CHAT_TITLE,,Personalizza i controlli della chat,Personalizza i controlli della chat,Cambiar controles de chat
Customize Weapon Controls,CNTRLMNU_WEAPONS_TITLE,,Personalizza i controlli delle armi,Personalizza i controlli delle armi,Cambiar controles de armas
Customize Inventory Controls,CNTRLMNU_INVENTORY_TITLE,,Personalizza i controlli dell'inventario,Personalizza i controlli dell'inventario,Cambiar controles de inventario
Customize Other Controls,CNTRLMNU_OTHER_TITLE,,Personalizza altri controlli,Personalizza altri controlli,Cambiar otros controles
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Inventory,CNTRLMNU_INVENTORY,,Inventario,Inventario,Inventario
,,,,,
Activate all items,CNTRLMNU_USEALLITEMS,,Attiva tutti gli oggetti,Attiva tutti gli oggetti,Activar todos los objetos
Next item,CNTRLMNU_NEXTITEM,,Oggetto successivo,Oggetto successivo,Objeto siguiente
Previous item,CNTRLMNU_PREVIOUSITEM,,Oggetto precedente,Oggetto precedente,Objeto anterior
Customize Map Controls,MAPCNTRLMNU_TITLE,,Personalizza i controlli mappa,Personalizza i controlli mappa,Cambiar controles del mapa
Map Controls,MAPCNTRLMNU_CONTROLS,,Controlli mappa,Controlli mappa,Controles del mapa
Pan left,MAPCNTRLMNU_PANLEFT,,Sposta a sinistra,Sposta a sinistra,Mover a la izquierda
Pan right,MAPCNTRLMNU_PANRIGHT,,Sposta a destra,Sposta a destra,Mover a la derecha
Pan up,MAPCNTRLMNU_PANUP,,Sposta sopra,Sposta sopra,Mover hacia arriba
Pan down,MAPCNTRLMNU_PANDOWN,,Sposta sotto,Sposta sotto,Mover hacia abajo
Zoom in,MAPCNTRLMNU_ZOOMIN,,Ingrandisci,Ingrandisci,Acercar
Zoom out,MAPCNTRLMNU_ZOOMOUT,,Rimpicciolisci,Rimpicciolisci,Alejar
Toggle zoom,MAPCNTRLMNU_TOGGLEZOOM,,Abilita/disabilita zoom,Abilita/disabilita zoom,Alternar zoom
Toggle follow,MAPCNTRLMNU_TOGGLEFOLLOW,,Abilita/disabilita scorrimento mappa,Abilita/disabilita scorrimento mappa,Alternar seguimiento
Toggle grid,MAPCNTRLMNU_TOGGLEGRID,,Abilita/disabilita la griglia,Abilita/disabilita la griglia,Alternar cuadrícula
Toggle rotate,MAPCNTRLMNU_ROTATE,,Abilita/disabilita la rotazione,Abilita/disabilita la rotazione,Alternar rotación
Toggle texture,MAPCNTRLMNU_TOGGLETEXTURE,,Abilita/disabilita le texture,Abilita/disabilita le texture,Alternar textura
Toggle automap,CNTRLMNU_AUTOMAP,,Abilita/disabilita l'automappa,Abilita/disabilita l'automappa,Alternar automapa
Chasecam,CNTRLMNU_CHASECAM,,Telecamera di inseguimento,Telecamera di inseguimento,Cámara de seguimiento
,,,,,
,,,,,
,,,,,
Increase Display Size,CNTRLMNU_DISPLAY_INC,,Aumenta la dimensione del display,Aumenta la dimensione del display,Agrandar ventana
Decrease Display Size,CNTRLMNU_DISPLAY_DEC,,Riduci la dimensione del display,Riduci la dimensione del display,Reducir ventana
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Quicksave,CNTRLMNU_QUICKSAVE,,Salvataggio rapido,Salvataggio rapido,Guardado rápido
Quickload,CNTRLMNU_QUICKLOAD,,Caricamento rapido,Caricamento rapido,Cargado rápido
Exit to Main Menu,CNTRLMNU_EXIT_TO_MAIN,,Esci dal menu principale,Esci dal menu principale,Salir al menú principal
Toggle Messages,CNTRLMNU_TOGGLE_MESSAGES,,Toggle messaggi,Toggle messaggi,Alternar mensajes
Quit Game,CNTRLMNU_MENU_QUIT,,Esci dal gioco,Esci dal gioco,Salir del juego
Adjust Gamma,CNTRLMNU_ADJUST_GAMMA,,Aggiustamento Gamma,Aggiustamento Gamma,Ajustar gama
,,,,,
Enable mouse,MOUSEMNU_ENABLEMOUSE,,Abilita il mouse,Abilita il mouse,Habilitar ratón
Enable mouse in menus,MOUSEMNU_MOUSEINMENU,,Abilita il mouse nei menu,Abilita il mouse nei menu,Usa ratón en los menús
Show back button,MOUSEMNU_SHOWBACKBUTTON,,Mostra il bottone per tornare indietro,Mostra il bottone per tornare indietro,Mostrar botón de retroceso
Cursor,MOUSEMNU_CURSOR,,Cursore,Cursore,
,,,,,
,,,,,
Smooth mouse movement,MOUSEMNU_SMOOTHMOUSE,,Movimento del mouse liscio,Movimento del mouse liscio,Mov. fluido del ratón
Turning speed,MOUSEMNU_TURNSPEED,,Velocità di rotazione,Velocità di rotazione,Velocidad de giro
Mouselook speed,MOUSEMNU_MOUSELOOKSPEED,,Velocità di rotazione della vista,Velocità di rotazione della vista,Veloc. de vista con ratón
Forward/Backward speed,MOUSEMNU_FORWBACKSPEED,,Velocità avanti/indietro,Velocità avanti/indietro,Veloc. de avance/retroceso
Strafing speed,MOUSEMNU_STRAFESPEED,,Velocità movimento laterale,Velocità movimento laterale,Veloc. de mov. lateral
Always Mouselook,MOUSEMNU_ALWAYSMOUSELOOK,,Vista col mouse,Vista col mouse,Siempre mirar con ratón
,,,,,
,,,,,
Upper left,OPTVAL_UPPERLEFT,,Superiore sinistro,Superiore sinistro,Sup. izquierda
Upper right,OPTVAL_UPPERRIGHT,,Superiore destro,Superiore destro,Sup. derecha
Lower left,OPTVAL_LOWERLEFT,,Inferiore sinistro,Inferiore sinistro,Inf. izquierda
Lower right,OPTVAL_LOWERRIGHT,,Inferiore destro,Inferiore destro,Inf. derecha
Touchscreen-like,OPTVAL_TOUCHSCREENLIKE,,Come il Touchscreen,Come il Touchscreen,Pant. táctil
Simple arrow,OPTSTR_SIMPLEARROW,,Freccia semplice,Freccia semplice,Flecha simple
System cursor,OPTSTR_SYSTEMCURSOR,,Cursore di sistema,Cursore di sistema,Cursor del sistema
Default,OPTVAL_DEFAULT,,Predefinito,Predefinito,Por defecto
,,,,,
Configure Controller,JOYMNU_TITLE,,Configura il controller,Configura il controller,Configurar mando
Controller Options,JOYMNU_OPTIONS,,Opzioni del controller,Opzioni del controller,Opciones del mando
Block controller input in menu,JOYMNU_NOMENU,,Blocca l'input del controller nei menu,Blocca l'input del controller nei menu,Bloq. entrada de mando en menú
Enable controller support,JOYMNU_ENABLE,,Abilita il supporto del controller,Abilita il supporto del controller,Activar soporte de mandos
Enable DirectInput controllers,JOYMNU_DINPUT,,Abilita i controlli DirectInput,Abilita i controlli DirectInput,Usa controles DirectInput
Enable XInput controllers,JOYMNU_XINPUT,,Abilita i controlli XInput,Abilita i controlli XInput,Usa controles XInput
Enable raw PlayStation 2 adapters,JOYMNU_PS2,,Abilita gli adattatori raw PlayStation 2,Abilita gli adattatori raw PlayStation 2,Usa adaptadores de PlayStation 2
No controllers detected,JOYMNU_NOCON,,Nessun controller trovato,Nessun controller trovato,No hay mandos detectados
Configure controllers:,JOYMNU_CONFIG,,Configura i controller:,Configura i controller:,Configurar controles:
Controller support must be,JOYMNU_DISABLED1,,Il supporto ai controller deve essere,Il supporto ai controller deve essere,El soporte de mandos debe estar
enabled to detect any,JOYMNU_DISABLED2,,abilitato a trovare ogni,abilitato a trovare ogni,activado para detectar alguno
Invalid controller specified for menu,JOYMNU_INVALID,,Controller invalido specificato per il menu,Controller invalido specificato per il menu,Mando inválido especificado para el menú
Overall sensitivity,JOYMNU_OVRSENS,,Sensibilità generale,Sensibilità generale,Sensibilidad general
Axis Configuration,JOYMNU_AXIS,,Configurazione assi,Configurazione assi,Configuración del eje
Invert,JOYMNU_INVERT,,Inverti,Inverti,Invertir
Dead zone,JOYMNU_DEADZONE,,Zona cieca,Zona cieca,Zona muerta
No configurable axes,JOYMNU_NOAXES,,Nessun asse configurabile,Nessun asse configurabile,No hay ejes configurables
None,OPTVAL_NONE,,Nessuno,Nessuno,Ninguno
Turning,OPTVAL_TURNING,,Rotazione,Rotazione,Girar
Looking Up/Down,OPTVAL_LOOKINGUPDOWN,,Sguardo Sopra/Sotto,Sguardo Sopra/Sotto,Mirar hacia arriba/abajo
Moving Forward,OPTVAL_MOVINGFORWARD,,Movimento in avanti,Movimento in avanti,Avanzar
Strafing,OPTVAL_STRAFING,,Movimento laterale,Movimento laterale,Desplazarse
Moving Up/Down,OPTVAL_MOVINGUPDOWN,,Movimento Sopra/Sotto,Movimento Sopra/Sotto,Moverse hacia arriba/abajo
Inverted,OPTVAL_INVERTED,,Invertito,Invertito,Invertido
Not Inverted,OPTVAL_NOTINVERTED,,Non invertito,Non invertito,No invertido
,,,,,
Blue,TXT_COLOR_BLUE,,Blu,Blu,Azul
Red,TXT_COLOR_RED,,Rosso,Rosso,Rojo
Green,TXT_COLOR_GREEN,,Verde,Verde,Verde
Gray,TXT_COLOR_GRAY,,Grigio,Grigio,Gris
Dark gray,TXT_COLOR_DARKGRAY,,Grigio scuro,Grigio scuro,Gris oscuro
Dark Green,TXT_COLOR_DARKGREEN,,Verde scuro,Verde scuro,Verde oscuro
Brown,TXT_COLOR_BROWN,,Marrone,Marrone,Marrón
Dark Blue,TXT_COLOR_DARKBLUE,,Blu scuro,Blu scuro,Azul oscuro
Light Red,TXT_COLOR_LIGHTRED,,Rosso chiaro,Rosso chiaro,Rojo claro
Yellow,TXT_COLOR_YELLOW,,Giallo,Giallo,Amarillo
Purple,TXT_COLOR_PURPLE,,Viola,Viola,Morado
Olive,TXT_COLOR_DULLGREEN,,Verde pallido,Verde pallido,Oliva
Beige,TXT_COLOR_BEIGE,,,,Beis
Light Green,TXT_COLOR_LIGHTGREEN,,Verde chiaro,Verde chiaro,Verde claro
Light Blue,TXT_COLOR_LIGHTBLUE,,Blu chiaro,Blu chiaro,Azul claro
Light Gray,TXT_COLOR_LIGHTGRAY,,Grigio chiaro,Grigio chiaro,Gris claro
Light Brown,TXT_COLOR_LIGHTBROWN,,Marrone chiaro,Marrone chiaro,Marrón claro
Gold,TXT_COLOR_GOLD,,Oro,Oro,Dorado
Bright Green,TXT_COLOR_BRIGHTGREEN,,Verde chiaro,Verde chiaro,Verde claro
Rust,TXT_COLOR_RUST,,Arrugginito,Arrugginito,Óxido
Name,PLYRMNU_NAME,,Nome,Nome,Nombre
Team,PLYRMNU_TEAM,,Squadra,Squadra,Equipo
Color,PLYRMNU_PLAYERCOLOR,,Colore,Colore,
Gender,PLYRMNU_PLAYERGENDER,,Sesso,Sesso,Sexo
Male,OPTVAL_MALE,,Maschio,Maschio,Masculino
Female,OPTVAL_FEMALE,,Femmina,Femmina,Femenino
Neutral,OPTVAL_NEUTRAL,,Neutrale,Neutrale,Neutro
Object,OPTVAL_OTHER,,Oggetto,Oggetto,Objeto
Gameplay Options,GMPLYMNU_TITLE,,Opzioni gameplay,Opzioni gameplay,Opciones de jugabilidad
Always,OPTVAL_ALWAYS,,Sempre,Sempre,Siempre
Never,OPTVAL_NEVER,,Mai,Mai,Nunca
Autoaim,PLYRMNU_AUTOAIM,,Mira automatica,Mira automatica,Autoapuntar
Always Run,PLYRMNU_ALWAYSRUN,,Corri sempre,Corri sempre,Siempre correr
,,,,,
Screen size,DSPLYMNU_SCREENSIZE,,Dimensione della schermata,Dimensione della schermata,Tamaño de pantalla
,,,,,
Models,DSPLYMNU_MODELS,,Modelli,Modelli,Modelos
Scale crosshair,DSPLYMNU_CROSSHAIRSCALE,,Scala del mirino,Scala del mirino,Escalar retícula
,,,,,
,,,,,
,,,,,
,,,,,
Status Bar Scale,DSPLYMNU_SBSCALE,,Dimensioni Status Bar,Dimensioni Status Bar,Escala de barra de estado
Messages,DSPLYMNU_MESSAGES,,Messaggi,Messaggi,Mensajes
Center messages,MSGMNU_CENTERMESSAGES,,Messaggi centrati,Messaggi centrati,Centrar mensajes
Pulsating message Display,MSGMNU_PULSEMESSAGES,,Mostra messaggi pulsanti,Mostra messaggi pulsanti,Mostrar mensajes pulsantes
Message Scale,MSGMNU_MESSAGESCALE,,Dimensioni Messaggi,Dimensioni Messaggi,Escala de mensajes
,,,,,
Select Color,MNU_COLORPICKER,,Scegli il colore,Scegli il colore,Elige un color
Rotate automap,AUTOMAPMNU_ROTATE,,Ruota l'automappa,Ruota l'automappa,Rotar automapa
Follow player,AUTOMAPMNU_FOLLOW,,Segui il giocatore,Segui il giocatore,Seguir jugador
Line alpha,AUTOMAPMNU_LINEALPHA,,Traslucenza delle linee,Traslucenza delle linee,Transparencia de línea
Line thickness,AUTOMAPMNU_LINETHICKNESS,,Spessore delle linee,Spessore delle linee,Grosor de línea
Customize Map Colors,MAPCOLORMNU_TITLE,,Personalizza i colori della mappa,Personalizza i colori della mappa,Personalizar colores (mapa)
Restore default custom colors,MAPCOLORMNU_DEFAULTMAPCOLORS,,Reimposta i colori personalizzati al default,Reimposta i colori personalizzati al default,Restaurar colores personalizados
,,,,,
Sound enabled,SNDMNU_SNDENABLED,,Abilita gli effetti sonori,Abilita gli effetti sonori,Sonido activado
Music enabled,SNDMNU_MUSENABLED,,Abilita la musica,Abilita la musica,Música activada
4000 Hz,OPTVAL_4000HZ,,,,
8000 Hz,OPTVAL_8000HZ,,,,
11025 Hz,OPTVAL_11025HZ,,,,
22050 Hz,OPTVAL_22050HZ,,,,
32000 Hz,OPTVAL_32000HZ,,,,
44100 Hz,OPTVAL_44100HZ,,,,
48000 Hz,OPTVAL_48000HZ,,,,
64 samples,OPTVAL_64SAMPLES,,,,64 muestras
128 samples,OPTVAL_128SAMPLES,,,,128 muestras
256 samples,OPTVAL_256SAMPLES,,,,256 muestras
512 samples,OPTVAL_512SAMPLES,,,,512 muestras
1024 samples,OPTVAL_1024SAMPLES,,,,1024 muestras
2048 samples,OPTVAL_2048SAMPLES,,,,2048 muestras
4096 samples,OPTVAL_4096SAMPLES,,,,4096 muestras
Auto,OPTSTR_AUTO,,Automatico,Automatico,Automático
Mono,OPTSTR_MONO,,,,
Stereo,OPTSTR_STEREO,,,,Estéreo
Dolby Pro Logic Decoder,OPTSTR_PROLOGIC,,,,
Quad,OPTSTR_QUAD,,,,Cuádruple
5 speakers,OPTSTR_SURROUND,,Surround,Surround,5 altavoces
5.1 speakers,OPTSTR_5POINT1,,Surround 5.1,Surround 5.1,Altavoces 5.1
7.1 speakers,OPTSTR_7POINT1,,Surround 7.1,Surround 7.1,Altavoces 7.1
,,,,,
Enable EFX,OPENALMNU_ENABLEEFX,,Abilita EFX,Abilita EFX,Permitir EFX
Resampler,OPENALMNU_RESAMPLER,,,,
,,,,,
,,,,,
,,,,,
MIDI device,SNDMNU_MIDIDEVICE,,Dispositivo MIDI,Dispositivo MIDI,Dispositivo MIDI
Sound in Background,SNDMNU_BACKGROUND,,Suono di sottofondo,Suono di sottofondo,Sonido en segundo plano
Underwater reverb,SNDMNU_UNDERWATERREVERB,,Reverb sott'acqua,Reverb sott'acqua,Reverberación bajo el agua
Randomize pitches,SNDMNU_RANDOMIZEPITCHES,,Rendi casuale il tono,Rendi casuale il tono,Tonos aleatorios
Sound channels,SNDMNU_CHANNELS,,Numero canali del suono,Numero canali del suono,Canales de sonido
Sound backend,SNDMNU_BACKEND,,Backend suono,Backend suono,Sistema de sonido
OpenAL options,SNDMNU_OPENAL,,Opzioni OpenAL,Opzioni OpenAL,Opciones de OpenAL
,,,,,
Advanced options,SNDMNU_ADVANCED,,Opzioni avanzate,Opzioni avanzate,Opciones avanzadas
Module replayer options,SNDMNU_MODREPLAYER,,Opzioni Module replayer,Opzioni Module replayer,Opciones reproductor de módulos
Midi player options,SNDMNU_MIDIPLAYER,,Opzioni Midi player,Opzioni Midi player,Opciones de reproductor MIDI
Sound in Menus,SNDMNU_MENUSOUND,,Suono nei menù,Suono nei menù,
Advanced Sound Options,ADVSNDMNU_TITLE,,Opzioni avanzate dei suoni,Opzioni avanzate dei suoni,Opciones avanzadas de sonido
Sample rate,ADVSNDMNU_SAMPLERATE,,,,Frecuencia de muestreo
HRTF,ADVSNDMNU_HRTF,,,,
OPL Synthesis,ADVSNDMNU_OPLSYNTHESIS,,,,Síntesis OPL
Number of emulated OPL chips,ADVSNDMNU_OPLNUMCHIPS,,Numero di chip OPL emulati,Numero di chip OPL emulati,Número de chips OPL emulados
Full MIDI stereo panning,ADVSNDMNU_OPLFULLPAN,,,,Balance estéreo MIDI completo
